,Cluster Labels,Neighborhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
10,29,"Arlington, Jacksonville, FL",30.3165143,-81.5588539,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Grocery Store,Sushi Restaurant,Café,Pizza Place,Coffee Shop,Hobby Shop,BBQ Joint
11,29,"Armour Square, Chicago, IL",41.8407554,-87.63401859999999,Chinese Restaurant,Gas Station,Cosmetics Shop,Breakfast Spot,Hot Dog Joint,Sports Bar,Asian Restaurant,Italian Restaurant,Sandwich Place,Exhibit
12,22,"Arnold's Station, Dallas, TX",32.7766642,-96.79698789999999,Fast Food Restaurant,Fried Chicken Joint,Convenience Store,Food,Breakfast Spot,Mexican Restaurant,Pharmacy,Discount Store,Pizza Place,Restaurant
13,29,"Ashburn Estates, Chicago, IL",41.7479001,-87.7072177,Intersection,Cosmetics Shop,Bus Station,Fast Food Restaurant,Light Rail Station,Construction & Landscaping,Liquor Store,Train Station,Italian Restaurant,Pizza Place
14,29,"Ashburn, Chicago, IL",41.7479001,-87.7072177,Intersection,Cosmetics Shop,Bus Station,Fast Food Restaurant,Light Rail Station,Construction & Landscaping,Liquor Store,Train Station,Italian Restaurant,Pizza Place
15,29,"Asian Trade District, Dallas, TX",32.7662666,-96.7864517,Intersection,Park,Convenience Store,Pharmacy,Food,Fast Food Restaurant,Soccer Field,Mexican Restaurant,French Restaurant,Tailor Shop
16,15,"Auburn Gresham, Chicago, IL",41.7433773,-87.6561995,Park,Currency Exchange,Basketball Court,Discount Store,Fast Food Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
17,23,"Avalon Park, Chicago, IL",41.7442016,-87.58557569999999,Burger Joint,Fast Food Restaurant,Sandwich Place,Cajun / Creole Restaurant,Diner,Pizza Place,Grocery Store,Boutique,Fishing Spot,Empanada Restaurant
18,29,"Avondale Gardens, Chicago, IL",41.9651348,-87.75257959999999,IT Services,Light Rail Station,Convenience Store,Diner,Pharmacy,Dog Run,Food,Thai Restaurant,Gift Shop,Bar
19,29,"Avondale, Chicago, IL",41.9415011,-87.70250209999999,Bar,Coffee Shop,Food Truck,Mexican Restaurant,Beer Store,Korean Restaurant,Park,Grocery Store,Donut Shop,German Restaurant
20,21,"Avondale, Jacksonville, FL",30.2967693,-81.7103155,Sandwich Place,Coffee Shop,American Restaurant,Sushi Restaurant,Breakfast Spot,Bar,Pizza Place,Park,Grocery Store,Deli / Bodega
21,29,"Bachman, Dallas, TX",32.8519716,-96.86659650000001,Gym / Fitness Center,Bank,Deli / Bodega,Golf Course,Mexican Restaurant,Food Truck,Sandwich Place,Spa,Intersection,Camera Store
22,5,"Back of the Yards, Chicago, IL",41.8066775,-87.6679765,Mexican Restaurant,Bank,Pizza Place,Liquor Store,Shoe Store,Video Store,Fried Chicken Joint,Clothing Store,Discount Store,Grocery Store
23,29,"Balboa Park, San Diego, CA",32.7341479,-117.144553,Zoo Exhibit,Gift Shop,Exhibit,Zoo,Garden,Art Museum,History Museum,Theme Park Ride / Attraction,Park,Theater
24,21,"Bankers Hill, San Diego, CA",32.7308025,-117.1629493,Italian Restaurant,Zoo Exhibit,Coffee Shop,American Restaurant,Pizza Place,Mexican Restaurant,Vegetarian / Vegan Restaurant,New American Restaurant,Sushi Restaurant,Restaurant
25,29,"Barrio Logan, San Diego, CA",32.6929806,-117.1367698,Fast Food Restaurant,Mexican Restaurant,Boat or Ferry,Coffee Shop,Department Store,Chinese Restaurant,Sandwich Place,Flea Market,Hotel,Taco Place
26,29,"Bay Ho, San Diego, CA",32.82424290000001,-117.217637,Trail,Pizza Place,Brewery,Automotive Shop,Baseball Field,Liquor Store,Martial Arts Dojo,Mexican Restaurant,Food Court,Print Shop
27,23,"Bay Park, San Diego, CA",32.7918374,-117.199996,Sandwich Place,Ice Cream Shop,Coffee Shop,Park,Grocery Store,Convenience Store,Pizza Place,American Restaurant,Shipping Store,BBQ Joint
28,23,"Bay Terraces, San Diego, CA",32.6858257,-117.0382158,Pizza Place,Dry Cleaner,Mexican Restaurant,Liquor Store,Laundromat,Sandwich Place,Park,Coffee Shop,Bus Stop,Vietnamese Restaurant
29,21,"Baylor District, Dallas, TX",32.7893418,-96.77951530000001,Hotel,Steakhouse,Coffee Shop,New American Restaurant,American Restaurant,Burger Joint,Japanese Restaurant,French Restaurant,Seafood Restaurant,Mexican Restaurant
30,29,"Baylor/Meadows, Dallas, TX",32.7812041,-96.77598420000001,Park,Pizza Place,Breakfast Spot,Pet Store,Italian Restaurant,Hardware Store,Gas Station,Discount Store,Coffee Shop,Chinese Restaurant
31,21,"Baymeadows, Jacksonville, FL",30.2367222,-81.5591584,American Restaurant,Coffee Shop,Sandwich Place,Pizza Place,Cosmetics Shop,Mexican Restaurant,Sushi Restaurant,Italian Restaurant,Fast Food Restaurant,Hotel
32,27,"Belmont Central, Chicago, IL",41.9274631,-87.7783025,Ice Cream Shop,Mexican Restaurant,Bus Stop,Bakery,Liquor Store,Gas Station,Boutique,Food,Butcher,Latin American Restaurant
33,23,"Belmont Gardens, Chicago, IL",41.9353935,-87.7296983,Pizza Place,Wings Joint,Mexican Restaurant,Discount Store,Pub,Chinese Restaurant,Grocery Store,Bank,Liquor Store,Boutique
34,29,"Belmont Heights, Chicago, IL",41.9430001,-87.8177243,Chinese Restaurant,Seafood Restaurant,IT Services,Furniture / Home Store,Farmers Market,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service
35,21,"Belmont Park, Dallas, TX",32.8105418,-96.78713409999999,Coffee Shop,Burger Joint,Seafood Restaurant,Salon / Barbershop,Locksmith,Sports Bar,Smoothie Shop,Bistro,Latin American Restaurant,Bakery
36,29,"Belmont Terrace, Chicago, IL",41.9414218,-87.83287120000001,Salon / Barbershop,Donut Shop,Sandwich Place,Clothing Store,Playground,Gift Shop,Fast Food Restaurant,Currency Exchange,Intersection,Automotive Shop
37,21,"Belmont, Dallas, TX",32.7693056,-96.8368582,Hotel,Coffee Shop,Steakhouse,Cocktail Bar,Plaza,History Museum,American Restaurant,Park,Bar,Deli / Bodega
38,29,"Bent Tree, Dallas, TX",32.9799017,-96.815513,Bank,Mexican Restaurant,Sandwich Place,Shipping Store,Intersection,Italian Restaurant,Burger Joint,Pizza Place,Gym / Fitness Center,Spa
39,22,"Beverly View, Chicago, IL",41.7485315,-87.6815352,Intersection,Home Service,Breakfast Spot,Discount Store,Pharmacy,Chinese Restaurant,Other Repair Shop,Bus Station,American Restaurant,Donut Shop
40,14,"Beverly Woods, Chicago, IL",41.6809765,-87.6831485,Fast Food Restaurant,Breakfast Spot,Mexican Restaurant,Bar,Scenic Lookout,Skating Rink,Snack Place,Video Store,Pharmacy,Record Shop
41,23,"Beverly, Chicago, IL",41.7171204,-87.6761796,Pizza Place,Cosmetics Shop,Discount Store,Souvenir Shop,Caribbean Restaurant,Juice Bar,Deli / Bodega,Italian Restaurant,Burger Joint,Boutique
42,19,"Big Oaks, Chicago, IL",41.9721668,-87.7986628,Ice Cream Shop,Zoo Exhibit,Fast Food Restaurant,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
43,7,"Birdland, San Diego, CA",32.7923929,-117.1529458,Park,Video Store,Cafeteria,Convenience Store,Gift Shop,Burrito Place,Gas Station,Entertainment Service,Ethiopian Restaurant,Event Service
44,21,"Bishop Arts District, Dallas, TX",32.7472564,-96.83041019999999,Hotel,Coffee Shop,Steakhouse,Cocktail Bar,Plaza,History Museum,American Restaurant,Park,Bar,Deli / Bodega
45,22,"Bluffview, Dallas, TX",32.8584384,-96.829506,Donut Shop,Stadium,Italian Restaurant,Convenience Store,Gas Station,Wings Joint,Gym,Supermarket,Video Store,American Restaurant
46,2,"Bonton, Dallas, TX",32.7410368,-96.7507375,Park,Light Rail Station,Discount Store,Eastern European Restaurant,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space
47,14,"Border, San Diego, CA",32.5444156,-117.0301235,Sandwich Place,Grocery Store,Park,Fast Food Restaurant,Pharmacy,Credit Union,Supermarket,Eastern European Restaurant,Electronics Store,Empanada Restaurant
48,21,"Boundbrook Oaks Estates, Dallas, TX",32.9876824,-96.8017491,Bar,Mexican Restaurant,Gym / Fitness Center,Breakfast Spot,Coffee Shop,Dive Bar,Italian Restaurant,New American Restaurant,Cosmetics Shop,Grocery Store
49,25,"Bowmanville, Chicago, IL",41.9780271,-87.6789573,Brewery,Bar,Liquor Store,Bus Station,Basketball Court,Garden,Dive Bar,Video Store,Dessert Shop,Thai Restaurant
50,21,"Boystown, Chicago, IL",41.9439979,-87.6473853,Gay Bar,Sushi Restaurant,Mexican Restaurant,Spa,Japanese Restaurant,Coffee Shop,New American Restaurant,Italian Restaurant,BBQ Joint,Dive Bar
51,2,"Brainerd, Chicago, IL",41.7273352,-87.6532921,Park,Intersection,Resort,Discount Store,Farmers Market,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service
52,29,"Brickyard, Chicago, IL",41.9294026,-87.7874006,Shoe Store,Mobile Phone Shop,Sandwich Place,Pizza Place,Bank,Discount Store,Fast Food Restaurant,Thrift / Vintage Store,Coffee Shop,Shopping Mall
53,29,"Bridgeport, Chicago, IL",41.8364162,-87.6486609,Pizza Place,Bar,Chinese Restaurant,Pharmacy,Art Gallery,Grocery Store,Coffee Shop,Gift Shop,American Restaurant,Mexican Restaurant
54,27,"Brighton Park, Chicago, IL",41.8193797,-87.69902479999999,Mexican Restaurant,Pizza Place,American Restaurant,Clothing Store,Breakfast Spot,Check Cashing Service,Grocery Store,Burger Joint,Café,Park
55,0,"Broadway Heights, San Diego, CA",32.7316059,-117.0521927,Cosmetics Shop,Pharmacy,Mobile Phone Shop,Juice Bar,Athletics & Sports,Optical Shop,Gym / Fitness Center,Warehouse Store,Sushi Restaurant,Sandwich Place
56,21,"Bronzeville, Chicago, IL",41.8166444,-87.6167744,Coffee Shop,Smoke Shop,Art Gallery,Food,Boutique,Sports Bar,Harbor / Marina,Gym,Restaurant,Train Station
57,29,"Bryan Place, Dallas, TX",32.7923822,-96.78821839999999,Mexican Restaurant,Discount Store,Pizza Place,Fast Food Restaurant,Bar,Taco Place,Convenience Store,Coffee Shop,Supermarket,Breakfast Spot
58,29,"Bryker Woods, Austin, TX",30.30244979999999,-97.75389349999999,Park,American Restaurant,Yoga Studio,Grocery Store,Coffee Shop,Italian Restaurant,Pharmacy,Gas Station,Sandwich Place,Community Center
59,21,"Buckner Park, Dallas, TX",32.7952041,-96.76940300000001,American Restaurant,Coffee Shop,Mexican Restaurant,Cocktail Bar,Sushi Restaurant,Salon / Barbershop,Dessert Shop,Park,Seafood Restaurant,Wine Bar
60,29,"Buckner Terrace, Dallas, TX",32.7919577,-96.69999279999999,Taco Place,Event Space,Mexican Restaurant,Trail,BBQ Joint,Burger Joint,Coffee Shop,Convenience Store,Pharmacy,Fried Chicken Joint
61,0,"Bucktown, Chicago, IL",41.9227067,-87.68027479999999,Bar,Furniture / Home Store,Park,Pool,Bed & Breakfast,Dive Bar,Gym / Fitness Center,Gym,Sushi Restaurant,Grocery Store
62,29,"Budlong Woods, Chicago, IL",41.9793856,-87.6963835,Karaoke Bar,Bus Station,Sandwich Place,Ice Cream Shop,Bus Stop,South American Restaurant,Sushi Restaurant,Middle Eastern Restaurant,Café,Nightclub
63,29,"Buena Park, Chicago, IL",41.95767559999999,-87.650714,Bus Station,Coffee Shop,Bar,Pizza Place,Asian Restaurant,Convenience Store,Pharmacy,American Restaurant,Tattoo Parlor,Golf Course
64,29,"Burlingame, San Diego, CA",32.7316217,-117.127946,Coffee Shop,Pizza Place,Mexican Restaurant,Bookstore,Café,Food Truck,Grocery Store,Bar,Liquor Store,Cocktail Bar
65,28,"Burnside, Chicago, IL",41.7281304,-87.5964182,Park,Motel,Home Service,Wine Bar,Intersection,Entertainment Service,Empanada Restaurant,Ethiopian Restaurant,Farmers Market,Event Service
66,29,"Cabrini–Green, Chicago, IL",41.9010905,-87.64146360000001,Lounge,Coffee Shop,Pharmacy,Gym,Salon / Barbershop,Mediterranean Restaurant,Restaurant,Shipping Store,Big Box Store,Fast Food Restaurant
67,6,"Calumet Heights, Chicago, IL",41.7298307,-87.57047639999999,Gym / Fitness Center,Construction & Landscaping,Zoo Exhibit,Fast Food Restaurant,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
68,25,"Canaryville, Chicago, IL",41.8135786,-87.6408469,Baseball Field,Bar,Gym,Shoe Store,Pizza Place,Sandwich Place,Bakery,Zoo Exhibit,Falafel Restaurant,Entertainment Service
69,29,"Carmel Mountain Ranch, San Diego, CA",32.9805356,-117.0735241,Fast Food Restaurant,Coffee Shop,Mexican Restaurant,Optical Shop,Chinese Restaurant,Gym / Fitness Center,Italian Restaurant,Greek Restaurant,Grocery Store,Pizza Place
70,10,"Carmel Valley, San Diego, CA",32.9398273,-117.2029363,Golf Course,American Restaurant,Café,Nightclub,Trail,Gym,Lawyer,Bar,Heliport,Stables
71,22,"Caruth Terrace, Dallas, TX",32.8400815,-96.7571387,Fast Food Restaurant,Convenience Store,Fried Chicken Joint,Pizza Place,Mexican Restaurant,Shoe Store,Pharmacy,Chinese Restaurant,Hotel,Sandwich Place
72,21,"Casa Linda Estates, Dallas, TX",32.8295,-96.69856809999999,Burger Joint,Bar,Taco Place,Coffee Shop,Japanese Restaurant,Mexican Restaurant,Playground,Thai Restaurant,Dance Studio,Discount Store
73,29,"Casa Linda Park, Dallas, TX",32.8207083,-96.6989024,Fast Food Restaurant,Salon / Barbershop,Park,Coffee Shop,American Restaurant,Burger Joint,Mobile Phone Shop,Mexican Restaurant,Ice Cream Shop,Italian Restaurant
74,27,"Casa View Haven, Dallas, TX",32.8313455,-96.6786731,Mexican Restaurant,Pizza Place,Gas Station,Thrift / Vintage Store,Sandwich Place,Supermarket,Dry Cleaner,Karaoke Bar,Market,Discount Store
75,29,"Casa View, Dallas, TX",32.8365426,-96.67183100000001,Fast Food Restaurant,Bakery,Ice Cream Shop,Italian Restaurant,Sandwich Place,Salon / Barbershop,American Restaurant,BBQ Joint,Park,Pharmacy
76,29,"Caswell Heights, Austin, TX",30.307765,-97.7194354,Bus Stop,Pizza Place,Mexican Restaurant,Coffee Shop,Clothing Store,Vegetarian / Vegan Restaurant,Salon / Barbershop,Cheese Shop,Taco Place,Bakery
77,22,"Cedar Crest, Dallas, TX",32.7200994,-96.80374119999999,Discount Store,Fast Food Restaurant,BBQ Joint,Department Store,Grocery Store,Chinese Restaurant,Thrift / Vintage Store,Asian Restaurant,Pharmacy,Bank
78,29,"Cedar Hills, Jacksonville, FL",30.253614,-81.7561379,Sandwich Place,Grocery Store,Pharmacy,Pizza Place,Italian Restaurant,Park,Breakfast Spot,Coffee Shop,Discount Store,Bakery
79,21,"Cedar Run, Dallas, TX",32.7734812,-96.66319039999999,American Restaurant,Cocktail Bar,Coffee Shop,Seafood Restaurant,Wine Bar,Hotel,Sushi Restaurant,Pizza Place,Burger Joint,Mexican Restaurant
80,29,"Central Station, Chicago, IL",41.8646077,-87.62153819999999,History Museum,Sandwich Place,Museum,Football Stadium,Historic Site,Pizza Place,Burger Joint,Bar,Asian Restaurant,Park
81,8,"Chatham, Chicago, IL",41.7401204,-87.61463599999999,Park,Boutique,Fast Food Restaurant,Fried Chicken Joint,Donut Shop,Discount Store,Lounge,Fishing Spot,Falafel Restaurant,Food
82,14,"Chicago Lawn, Chicago, IL",41.7718392,-87.6931785,Fast Food Restaurant,American Restaurant,Fish & Chips Shop,Zoo Exhibit,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
83,29,"Chimney Hill, Dallas, TX",32.9102371,-96.72684,Mexican Restaurant,Sandwich Place,Pizza Place,Coffee Shop,Baseball Field,Stables,Golf Driving Range,BBQ Joint,Bar,Tennis Court
84,29,"Chinatown, Chicago, IL",41.850691,-87.63404899999999,Chinese Restaurant,Korean Restaurant,Asian Restaurant,Dessert Shop,Dim Sum Restaurant,Tea Room,Bakery,Hotpot Restaurant,Plaza,Mobile Phone Shop
85,29,"Chollas View, San Diego, CA",32.7120582,-117.0941178,Light Rail Station,Wings Joint,Pizza Place,Mexican Restaurant,Ice Cream Shop,Theater,Donut Shop,BBQ Joint,Grocery Store,Coffee Shop
86,29,"Chrysler Village, Chicago, IL",41.7763868,-87.7519502,Airport Terminal,Bank,Airport,Heliport,Airport Service,Ethiopian Restaurant,Event Service,Event Space,Fast Food Restaurant,Entertainment Service
87,7,"City Heights, San Diego, CA",32.7402624,-117.1009481,Convenience Store,Grocery Store,Park,Liquor Store,Fast Food Restaurant,Bank,Sandwich Place,Trail,Garden Center,Coffee Shop
88,27,"Cityplace, Dallas, TX",32.8061317,-96.79357449999999,Mexican Restaurant,Convenience Store,Coffee Shop,Taco Place,Fried Chicken Joint,Diner,Italian Restaurant,Dessert Shop,American Restaurant,Antique Shop
89,29,"Clairemont, San Diego, CA",32.82414,-117.1936969,Fast Food Restaurant,Bus Stop,Mexican Restaurant,Chinese Restaurant,Other Repair Shop,Clothing Store,Salon / Barbershop,Sandwich Place,Gas Station,Café
90,22,"Claremont Park, Dallas, TX",32.7993311,-96.70930349999999,Fried Chicken Joint,Fast Food Restaurant,Pizza Place,Discount Store,Hotel,Pharmacy,Grocery Store,Park,Skate Park,Diner
91,23,"Claremont, Dallas, TX",32.7993311,-96.70930349999999,Mexican Restaurant,Pizza Place,Discount Store,Convenience Store,Sandwich Place,Thrift / Vintage Store,Grocery Store,Donut Shop,Gym,Athletics & Sports
92,0,"Clarendon Park, Chicago, IL",41.9633603,-87.6486024,Park,Bus Station,Convenience Store,Harbor / Marina,Beach,American Restaurant,Rental Car Location,Skate Park,Athletics & Sports,Gym / Fitness Center
93,21,"Clearing East, Chicago, IL",41.77660179999999,-87.7446449,Hotel,Fast Food Restaurant,American Restaurant,Pizza Place,Restaurant,Coffee Shop,Chinese Restaurant,Taco Place,Mexican Restaurant,Martial Arts Dojo
94,27,"Clearing West, Chicago, IL",41.7789975,-87.78259039999999,Mexican Restaurant,Sandwich Place,American Restaurant,Thrift / Vintage Store,Grocery Store,Latin American Restaurant,Diner,Asian Restaurant,Italian Restaurant,Supermarket
95,23,"College Area, San Diego, CA",32.770779,-117.0697667,Sandwich Place,Pizza Place,Coffee Shop,Mexican Restaurant,Fast Food Restaurant,Concert Hall,College Rec Center,Thai Restaurant,Taco Place,Bowling Alley
96,29,"Confederate Point, Jacksonville, FL",30.256893,-81.7363099,Sandwich Place,Grocery Store,Pizza Place,Breakfast Spot,Bakery,Gas Station,Seafood Restaurant,Park,Gym,Donut Shop
97,0,"Copperfield Community, Dallas, TX",32.788252,-96.7866727,Park,Boutique,Clothing Store,Women's Store,Other Great Outdoors,Pharmacy,French Restaurant,Jewelry Store,Shipping Store,Grocery Store
98,29,"Core, San Diego, CA",32.7181664,-117.1632389,Mexican Restaurant,Gym / Fitness Center,Park,Donut Shop,Video Store,ATM,Food & Drink Shop,Bakery,Thrift / Vintage Store,Thai Restaurant
99,21,"Cortez Hill, San Diego, CA",32.7221513,-117.1573572,Hotel,Mexican Restaurant,Bar,Coffee Shop,Café,American Restaurant,Sushi Restaurant,Taco Place,Lounge,New American Restaurant
100,11,"Cottage Grove Heights, Chicago, IL",41.718128,-87.5964313,Southern / Soul Food Restaurant,Dog Run,Zoo Exhibit,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Eye Doctor
101,22,"Country Forest, Dallas, TX",32.9105334,-96.81754819999999,Fast Food Restaurant,Convenience Store,Gas Station,Smoke Shop,Bar,Discount Store,Grocery Store,Arts & Crafts Store,Sushi Restaurant,Rental Car Location
102,25,"Crestline, Chicago, IL",41.7442851,-87.7248012,Seafood Restaurant,Sandwich Place,Sports Bar,Mexican Restaurant,Shop & Service,Bakery,Park,Donut Shop,Food,Cycle Studio
103,21,"Dallas Arts District, Dallas, TX",32.7897314,-96.79826159999999,Hotel,Coffee Shop,American Restaurant,Steakhouse,New American Restaurant,Seafood Restaurant,Japanese Restaurant,Mexican Restaurant,Park,Art Museum
104,21,"Dallas Farmers Market, Dallas, TX",32.7774951,-96.7892634,Bar,Coffee Shop,Cocktail Bar,American Restaurant,Hotel,Brewery,Rock Club,Mexican Restaurant,Burger Joint,Pizza Place
105,29,"Dearborn Homes, Chicago, IL",41.8430889,-87.6278291,Chinese Restaurant,Storage Facility,Rental Car Location,Gym / Fitness Center,Asian Restaurant,Soccer Field,Deli / Bodega,Seafood Restaurant,Breakfast Spot,Hotel
106,29,"Dearborn Park, Chicago, IL",41.8664289,-87.62899949999999,Sandwich Place,Coffee Shop,Gym / Fitness Center,Park,Clothing Store,Burger Joint,Pizza Place,Donut Shop,Asian Restaurant,Grocery Store
107,21,"Deep Ellum, Dallas, TX",32.7843924,-96.7801849,Bar,Dive Bar,Coffee Shop,Rock Club,American Restaurant,Mexican Restaurant,Pizza Place,Nightclub,Burger Joint,Music Venue
108,27,"Del Cerro, San Diego, CA",32.7868431,-117.0646976,Mexican Restaurant,Park,ATM,Pizza Place,Thrift / Vintage Store,Liquor Store,Bagel Shop,Asian Restaurant,Grocery Store,Wine Shop
109,29,"Del Mar Heights, San Diego, CA",32.9483783,-117.2608701,Trail,Fast Food Restaurant,Café,Vietnamese Restaurant,Restaurant,Grocery Store,Greek Restaurant,Diner,Park,Mexican Restaurant
110,24,"Del Mar Mesa, San Diego, CA",32.9366703,-117.1839635,Trail,Dumpling Restaurant,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Eye Doctor
111,22,"Devonshire, Dallas, TX",32.858434,-96.8152729,Vietnamese Restaurant,Bakery,Convenience Store,Donut Shop,Grocery Store,Korean Restaurant,Fast Food Restaurant,Seafood Restaurant,Pizza Place,Check Cashing Service
112,22,"Dinsmore, Jacksonville, FL",30.4238141,-81.77323349999999,Discount Store,Sandwich Place,Convenience Store,Fast Food Restaurant,Pizza Place,Grocery Store,Fried Chicken Joint,BBQ Joint,Donut Shop,Gas Station
113,7,"Dixon Circle, Dallas, TX",32.76502,-96.7327755,Park,Taco Place,Golf Course,Light Rail Station,Mexican Restaurant,Convenience Store,Construction & Landscaping,Flower Shop,Falafel Restaurant,Empanada Restaurant
114,27,"Dolphin Heights, Dallas, TX",32.781824,-96.73668769999999,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Outdoors & Recreation,Furniture / Home Store,Gas Station,Nightclub,Farmers Market,Farm,Falafel Restaurant
115,0,"Douglas Park, Chicago, IL",41.8593746,-87.6950899,Electronics Store,Park,Theater,Camera Store,Performing Arts Venue,Film Studio,Circus,Brewery,Café,Event Space
116,21,"Downtown (Columbia, San Diego, CA",32.7181664,-117.1632389,Hotel,Italian Restaurant,Café,Mexican Restaurant,Coffee Shop,New American Restaurant,Bar,American Restaurant,Seafood Restaurant,Park
117,21,"Downtown Austin, Austin, TX",30.2729209,-97.74438630000002,Hotel,Coffee Shop,Bar,Cocktail Bar,Nightclub,Steakhouse,Italian Restaurant,Movie Theater,Restaurant,Capitol Building
118,23,"Dunning, Chicago, IL",41.9452601,-87.8070003,Fast Food Restaurant,Thai Restaurant,Hot Dog Joint,Pizza Place,Italian Restaurant,Gourmet Shop,Donut Shop,Tattoo Parlor,Health & Beauty Service,Asian Restaurant
119,21,"Durkeeville, Jacksonville, FL",30.34531429999999,-81.6742659,Brewery,Sandwich Place,Bar,American Restaurant,Coffee Shop,Food Truck,Café,Park,Burrito Place,Restaurant
120,22,"Eagle Ford, Dallas, TX",32.7848517,-96.9008376,Fast Food Restaurant,Ethiopian Restaurant,Fried Chicken Joint,Pizza Place,Video Store,Discount Store,Burger Joint,Italian Restaurant,Greek Restaurant,Bank
121,13,"East Beverly, Chicago, IL",41.7062606,-87.66299269999999,Ice Cream Shop,Gym / Fitness Center,Caribbean Restaurant,Park,Zoo Exhibit,Farm,Electronics Store,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant
122,14,"East Chatham, Chicago, IL",41.7481345,-87.60135679999999,Train Station,Sandwich Place,BBQ Joint,Fast Food Restaurant,Caribbean Restaurant,Bus Station,Fried Chicken Joint,Currency Exchange,Check Cashing Service,Light Rail Station
123,28,"East Elliott, San Diego, CA",32.8646166,-117.1045449,Intersection,Home Service,Zoo Exhibit,Fast Food Restaurant,Empanada Restaurant,Entertainment Service,Ethiopian Restaurant,Event Service,Event Space,Exhibit
124,22,"East Garfield Park, Chicago, IL",41.8810352,-87.70118459999999,Pharmacy,Public Art,Burger Joint,Pet Service,Discount Store,Warehouse Store,American Restaurant,Diner,Garden Center,Eye Doctor
125,29,"East Hyde Park, Chicago, IL",41.79627809999999,-87.58530429999999,Thai Restaurant,Yoga Studio,Dive Bar,Gastropub,Bike Rental / Bike Share,Sandwich Place,Italian Restaurant,Pizza Place,French Restaurant,Supplement Shop
